epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20117,2.36391,3.17657,2.17984,0.01946,0.13699,0.01062,0.00346,3.08161,7.37707,3.13875,0.00052,0.00052,0.00052
2,4.54931,2.26498,2.88878,2.13491,0.00409,0.08219,0.00154,0.00034,nan,nan,nan,0.00104951,0.00104951,0.00104951
3,6.84956,2.32533,2.72295,2.22496,0.0007,0.0137,0.00039,0.00012,nan,nan,nan,0.00156832,0.00156832,0.00156832
4,9.15889,2.2871,2.71692,2.21963,0.01261,0.20548,0.01027,0.00228,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,11.4702,2.35288,2.65533,2.26006,0.00206,0.23288,0.00118,0.00042,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,13.8226,2.2863,2.67006,2.24991,0.02371,0.0274,0.00445,0.00113,nan,nan,nan,0.001901,0.001901,0.001901
7,16.1166,2.20672,2.57641,2.1755,0.14379,0.05479,0.02593,0.00635,2.98638,6.90328,5.06367,0.0018812,0.0018812,0.0018812
8,18.5389,2.24575,2.59113,2.20822,0.17313,0.15068,0.13069,0.04602,2.25932,4.57938,2.54103,0.0018614,0.0018614,0.0018614
9,20.9283,2.13998,2.47211,2.12183,0.13178,0.24658,0.10529,0.03831,2.24389,2.76822,2.42524,0.0018416,0.0018416,0.0018416
10,23.3986,2.11513,2.52302,2.10122,0.0247,0.0274,0.02305,0.01237,2.66119,7.70103,2.7422,0.0018218,0.0018218,0.0018218
11,25.7178,2.07177,2.47511,2.05562,0.24673,0.32877,0.20529,0.06495,2.28474,2.56507,2.28785,0.001802,0.001802,0.001802
12,28.1074,2.01158,2.38319,2.01439,0.25503,0.30137,0.15692,0.0578,2.27848,2.70098,2.35233,0.0017822,0.0017822,0.0017822
13,30.4251,2.02332,2.44048,2.01264,0.23866,0.28767,0.21775,0.07283,2.17592,3.78348,2.34612,0.0017624,0.0017624,0.0017624
14,32.8673,1.96988,2.32628,1.96365,0.18073,0.22668,0.17503,0.06547,2.26326,3.43736,2.42695,0.0017426,0.0017426,0.0017426
15,35.2032,2.03967,2.44836,2.00865,0.13489,0.24658,0.14603,0.06775,2.19054,2.63604,2.20311,0.0017228,0.0017228,0.0017228
16,37.5167,1.97122,2.29071,1.96771,0.23167,0.38003,0.18992,0.06005,2.19582,2.32349,2.29975,0.001703,0.001703,0.001703
17,39.8296,1.96628,2.33434,1.98967,0.31174,0.35616,0.24448,0.09538,2.15611,2.24528,2.21221,0.0016832,0.0016832,0.0016832
18,42.2056,1.98209,2.29581,1.94724,0.26902,0.29748,0.21066,0.08556,2.14409,2.37985,2.158,0.0016634,0.0016634,0.0016634
19,44.6288,1.91516,2.23866,1.92822,0.45777,0.28767,0.32881,0.13521,2.18156,2.13425,2.31588,0.0016436,0.0016436,0.0016436
20,47.0412,1.93265,2.22787,1.92148,0.25795,0.35616,0.21572,0.07374,2.34486,2.53191,2.37368,0.0016238,0.0016238,0.0016238
